t,s,h,p_you,p_opp,WinProb,BestAction
0,-48,0,0,0,0.0,TERM
0,-48,0,0,1,0.0,TERM
0,-48,0,1,0,0.0,TERM
0,-48,0,1,1,0.0,TERM
0,-48,1,0,0,0.0,TERM
0,-48,1,0,1,0.0,TERM
0,-48,1,1,0,0.0,TERM
0,-48,1,1,1,0.0,TERM
0,-47,0,0,0,0.0,TERM
0,-47,0,0,1,0.0,TERM
0,-47,0,1,0,0.0,TERM
0,-47,0,1,1,0.0,TERM
0,-47,1,0,0,0.0,TERM
0,-47,1,0,1,0.0,TERM
0,-47,1,1,0,0.0,TERM
0,-47,1,1,1,0.0,TERM
0,-46,0,0,0,0.0,TERM
0,-46,0,0,1,0.0,TERM
0,-46,0,1,0,0.0,TERM
0,-46,0,1,1,0.0,TERM
0,-46,1,0,0,0.0,TERM
0,-46,1,0,1,0.0,TERM
0,-46,1,1,0,0.0,TERM
0,-46,1,1,1,0.0,TERM
0,-45,0,0,0,0.0,TERM
0,-45,0,0,1,0.0,TERM
0,-45,0,1,0,0.0,TERM
0,-45,0,1,1,0.0,TERM
0,-45,1,0,0,0.0,TERM
0,-45,1,0,1,0.0,TERM
0,-45,1,1,0,0.0,TERM
0,-45,1,1,1,0.0,TERM
0,-44,0,0,0,0.0,TERM
0,-44,0,0,1,0.0,TERM
0,-44,0,1,0,0.0,TERM
0,-44,0,1,1,0.0,TERM
0,-44,1,0,0,0.0,TERM
0,-44,1,0,1,0.0,TERM
0,-44,1,1,0,0.0,TERM
0,-44,1,1,1,0.0,TERM
0,-43,0,0,0,0.0,TERM
0,-43,0,0,1,0.0,TERM
0,-43,0,1,0,0.0,TERM
0,-43,0,1,1,0.0,TERM
0,-43,1,0,0,0.0,TERM
0,-43,1,0,1,0.0,TERM
0,-43,1,1,0,0.0,TERM
0,-43,1,1,1,0.0,TERM
0,-42,0,0,0,0.0,TERM
0,-42,0,0,1,0.0,TERM
0,-42,0,1,0,0.0,TERM
0,-42,0,1,1,0.0,TERM
0,-42,1,0,0,0.0,TERM
0,-42,1,0,1,0.0,TERM
0,-42,1,1,0,0.0,TERM
0,-42,1,1,1,0.0,TERM
0,-41,0,0,0,0.0,TERM
0,-41,0,0,1,0.0,TERM
0,-41,0,1,0,0.0,TERM
0,-41,0,1,1,0.0,TERM
0,-41,1,0,0,0.0,TERM
0,-41,1,0,1,0.0,TERM
0,-41,1,1,0,0.0,TERM
0,-41,1,1,1,0.0,TERM
0,-40,0,0,0,0.0,TERM
0,-40,0,0,1,0.0,TERM
0,-40,0,1,0,0.0,TERM
0,-40,0,1,1,0.0,TERM
0,-40,1,0,0,0.0,TERM
0,-40,1,0,1,0.0,TERM
0,-40,1,1,0,0.0,TERM
0,-40,1,1,1,0.0,TERM
0,-39,0,0,0,0.0,TERM
0,-39,0,0,1,0.0,TERM
0,-39,0,1,0,0.0,TERM
0,-39,0,1,1,0.0,TERM
0,-39,1,0,0,0.0,TERM
0,-39,1,0,1,0.0,TERM
0,-39,1,1,0,0.0,TERM
0,-39,1,1,1,0.0,TERM
0,-38,0,0,0,0.0,TERM
0,-38,0,0,1,0.0,TERM
0,-38,0,1,0,0.0,TERM
0,-38,0,1,1,0.0,TERM
0,-38,1,0,0,0.0,TERM
0,-38,1,0,1,0.0,TERM
0,-38,1,1,0,0.0,TERM
0,-38,1,1,1,0.0,TERM
0,-37,0,0,0,0.0,TERM
0,-37,0,0,1,0.0,TERM
0,-37,0,1,0,0.0,TERM
0,-37,0,1,1,0.0,TERM
0,-37,1,0,0,0.0,TERM
0,-37,1,0,1,0.0,TERM
0,-37,1,1,0,0.0,TERM
0,-37,1,1,1,0.0,TERM
0,-36,0,0,0,0.0,TERM
0,-36,0,0,1,0.0,TERM
0,-36,0,1,0,0.0,TERM
0,-36,0,1,1,0.0,TERM
0,-36,1,0,0,0.0,TERM
0,-36,1,0,1,0.0,TERM
0,-36,1,1,0,0.0,TERM
0,-36,1,1,1,0.0,TERM
0,-35,0,0,0,0.0,TERM
0,-35,0,0,1,0.0,TERM
0,-35,0,1,0,0.0,TERM
0,-35,0,1,1,0.0,TERM
0,-35,1,0,0,0.0,TERM
0,-35,1,0,1,0.0,TERM
0,-35,1,1,0,0.0,TERM
0,-35,1,1,1,0.0,TERM
0,-34,0,0,0,0.0,TERM
0,-34,0,0,1,0.0,TERM
0,-34,0,1,0,0.0,TERM
0,-34,0,1,1,0.0,TERM
0,-34,1,0,0,0.0,TERM
0,-34,1,0,1,0.0,TERM
0,-34,1,1,0,0.0,TERM
0,-34,1,1,1,0.0,TERM
0,-33,0,0,0,0.0,TERM
0,-33,0,0,1,0.0,TERM
0,-33,0,1,0,0.0,TERM
0,-33,0,1,1,0.0,TERM
0,-33,1,0,0,0.0,TERM
0,-33,1,0,1,0.0,TERM
0,-33,1,1,0,0.0,TERM
0,-33,1,1,1,0.0,TERM
