Action,d,Count,Prob
NP,-5,1,0.0005022601707684581
NP,-4,5,0.0025113008538422904
NP,-3,46,0.023103967855349072
NP,-2,137,0.06880964339527876
NP,-1,451,0.2265193370165746
NP,0,3,0.0015067805123053742
NP,1,713,0.3581115017579106
NP,2,390,0.19588146659969866
NP,3,165,0.08287292817679558
NP,4,65,0.03264691109994977
NP,5,15,0.007533902561526871
PP,-4,2,0.0034129692832764505
PP,-3,8,0.013651877133105802
PP,-2,30,0.051194539249146756
PP,-1,81,0.13822525597269625
PP,0,2,0.0034129692832764505
PP,1,194,0.3310580204778157
PP,2,154,0.2627986348122867
PP,3,91,0.1552901023890785
PP,4,15,0.025597269624573378
PP,5,7,0.011945392491467578
PP,6,2,0.0034129692832764505
